layer,x,y,w,h,tint,text_align,text_size,text_scale,text_font,stroke_tint,shadow_tint,effects
"small_off#key_normal_background#key_normal_border",723,900,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",663,900,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",603,900,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",543,900,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",483,900,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",423,900,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",363,900,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",303,900,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",243,900,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",183,900,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",123,900,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",63,900,55,55,,"",,,"",,,""
"keybutton_off#button_normal_background#button_normal_border",61,1102,208,50,,"",,,"",,,""
"large_off#key_normal_background#key_normal_border",783,841,114,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",723,840,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",663,840,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",603,840,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",543,840,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",483,840,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",423,840,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",363,840,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",303,840,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",243,840,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",183,840,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",123,840,55,55,,"",,,"",,,""
"small_off#key_normal_background#key_normal_border",63,840,55,55,,"",,,"",,,""
"</art>,p",0,0,0,0,,"",,,"",,,""
"modal,p",0,0,0,0,,"",,,"",,,""
